Designator,Mid X,Mid Y,Rotation,Layer
U1_4,98.600004,-77.710003,0.0,top
U1_3,48.099997,-77.710003,0.0,top
*U2_4,84.485004,-81.025003,90.0,top
R3_4,119.200004,-95.600003,0.0,top
R17_4,99.800004,-55.799998,0.0,top
R18_4,103.800004,-55.799998,0.0,top
U1_2,48.099997,-27.209998,0.0,top
C4_4,92.500004,-88.000003,180.0,top
*D10_4,30.499997,-90.000003,-90.0,top
Q1_4,57.349997,-61.437498,90.0,top
C3_4,80.350004,-84.000003,0.0,top
R1_4,118.600004,-82.800003,180.0,top
R3_3,68.699997,-95.600003,0.0,top
R14_4,31.499997,-50.499998,0.0,top
R16_4,107.800004,-106.300003,0.0,top
C3_3,29.849997,-84.000003,0.0,top
D5_4,49.299997,-54.299998,0.0,top
R2_4,68.099997,-34.899998,180.0,top
C6_4,88.500004,-102.000003,-90.0,top
C7_4,93.500004,-102.000003,90.0,top
Q3_4,99.800004,-61.499998,90.0,top
R4_4,98.600004,-99.250003,90.0,top
*L1_4,35.999997,-90.000003,0.0,top
R17_3,49.299997,-106.300003,0.0,top
U1,98.600004,-27.209998,0.0,top
Q4_4,61.349997,-61.437498,90.0,top
*D10_3,30.499997,-39.499998,-90.0,top
U3_4,91.000004,-51.499998,-90.0,top
R1_3,68.099997,-82.800003,180.0,top
F1_4,85.500004,-107.000003,180.0,top
D4_4,57.299997,-54.299998,0.0,top
Q2_4,103.850004,-61.437498,90.0,top
C7_3,42.999997,-51.499998,90.0,top
D8_4,111.800004,-104.800003,0.0,top
R2_3,68.099997,-85.400003,180.0,top
D2_4,79.000004,-101.000003,180.0,top
R4_3,48.099997,-99.250003,90.0,top
*C5_4,40.349997,-31.999998,0.0,top
R6_4,111.800004,-55.799998,0.0,top
D4_3,57.299997,-104.800003,0.0,top
D8_3,61.299997,-104.800003,0.0,top
R14_3,82.000004,-50.499998,0.0,top
D3_4,45.499997,-51.087498,-90.0,top
Q4_3,111.850004,-111.937503,90.0,top
R15_4,45.499997,-48.087498,90.0,top
F1_3,34.999997,-107.000003,180.0,top
R13_4,31.499997,-103.000003,0.0,top
R16_3,57.299997,-55.799998,0.0,top
R6_3,111.800004,-106.300003,0.0,top
R18_3,53.299997,-106.300003,0.0,top
R15_3,96.000004,-98.587503,90.0,top
C3_2,29.849997,-33.499998,0.0,top
*L1_3,35.999997,-39.499998,0.0,top
*U2_3,33.984997,-81.025003,90.0,top
Q1_3,107.850004,-61.437498,90.0,top
R17_2,49.299997,-55.799998,0.0,top
F1_2,85.500004,-56.499998,180.0,top
*U2_2,84.485004,-30.524998,90.0,top
C2_4,29.849997,-30.499998,90.0,top
Q2_3,53.349997,-61.437498,90.0,top
Q2_2,103.850004,-111.937503,90.0,top
R17,99.800004,-106.300003,0.0,top
*R8_4,37.349997,-81.000003,90.0,top
C7_2,42.999997,-102.000003,90.0,top
R3_2,68.699997,-45.099998,0.0,top
R1_2,68.099997,-32.299998,180.0,top
R18_2,53.299997,-55.799998,0.0,top
U3_3,40.499997,-102.000003,-90.0,top
C4_3,92.500004,-37.499998,180.0,top
D1_4,28.499997,-52.499998,180.0,top
*R8_3,37.349997,-30.499998,90.0,top
C6_3,88.500004,-51.499998,-90.0,top
*L1_2,86.500004,-90.000003,0.0,top
Q2,53.349997,-111.937503,90.0,top
F1,34.999997,-56.499998,180.0,top
C2_3,80.350004,-81.000003,90.0,top
C2_2,29.849997,-81.000003,90.0,top
J1_4,39.249997,-116.000003,180.0,top
D1_3,79.000004,-103.000003,180.0,top
R4_2,48.099997,-48.749998,90.0,top
D3_3,96.000004,-101.587503,-90.0,top
